instrument,datetime,open,high,low,close,volume
9958,2022-11-21,78.4353,85.2173,78.4353,84.8241,7133987
9958,2022-11-22,85.119,86.1019,80.9908,81.4822,7573276
9958,2022-11-23,82.5634,83.0549,80.5976,80.6959,2739911
9958,2022-11-24,80.9908,81.4822,79.4182,81.0891,1929010
9958,2022-11-25,80.6959,81.8754,79.1233,79.1233,2361752
9958,2022-11-28,78.0421,81.2857,76.9609,81.0891,2192329
9958,2022-11-29,80.3028,84.4309,80.3028,83.6446,5508947
9958,2022-11-30,83.0549,84.2344,82.3669,83.5463,2386958
9958,2022-12-01,84.0378,84.9224,82.5634,84.2344,2836372
9958,2022-12-02,84.5292,88.4608,84.2344,87.1831,7151730
9958,2022-12-05,87.4779,89.0506,86.7899,87.2813,4713603
9958,2022-12-06,87.2813,90.3283,87.0848,88.6574,6324681
9958,2022-12-07,88.0677,89.3454,84.2344,84.4309,7620806
9958,2022-12-08,85.119,89.2471,84.9224,88.4608,6756614
9958,2022-12-09,87.9694,88.7557,86.1019,86.9865,4030690
9958,2022-12-12,87.0848,87.2813,85.0207,86.7899,1745758
9958,2022-12-13,86.495,87.9694,86.2984,86.2984,2265908
9958,2022-12-14,87.1831,88.7557,86.5933,88.7557,2726587
9958,2022-12-15,88.854,90.23,87.7728,89.3454,3449814
9958,2022-12-16,88.4608,89.8369,86.2002,86.2002,3731854
9958,2022-12-19,86.2984,86.8882,84.0378,84.0378,2450967
9958,2022-12-20,83.5463,84.4309,80.2045,80.3028,5150418
9958,2022-12-21,82.8583,85.3155,81.9737,82.2686,2892506
9958,2022-12-22,83.5463,88.9523,82.6617,88.4608,6593169
9958,2022-12-23,87.9694,91.1146,86.9865,87.3796,9351945
9958,2022-12-26,86.8882,87.4779,84.2344,84.7258,3690364
9958,2022-12-27,84.7258,86.9865,84.7258,86.495,1874299
9958,2022-12-28,86.495,91.4095,86.2002,90.3283,10025411
9958,2022-12-29,89.3454,90.6232,87.2813,89.2471,7057550
9958,2022-12-30,89.3454,89.6403,87.0848,87.0848,4649425
9958,2023-01-03,87.9694,90.1317,87.2813,89.3454,3192107
9958,2023-01-04,88.5591,91.2129,88.5591,90.1317,4037850
9958,2023-01-05,89.542,89.7386,87.6745,87.9694,3679689
9958,2023-01-06,88.4608,89.0506,87.4779,88.2642,2073585
9958,2023-01-09,88.2642,91.8027,88.2642,91.7044,5829383
9958,2023-01-10,91.901,93.277,90.4266,91.7044,4999566
9958,2023-01-11,91.901,93.277,91.1146,91.7044,2969053
9958,2023-01-12,91.901,93.0804,90.6232,91.0164,2734526
9958,2023-01-13,91.6061,91.8027,90.0335,90.1317,1669946
9958,2023-01-16,90.5249,91.6061,88.6574,91.3112,2120280
9958,2023-01-17,91.6061,93.7685,91.5078,93.3753,4354392
9958,2023-01-30,94.4565,95.8326,93.4736,94.1616,3174237
9958,2023-01-31,95.3411,98.7812,94.8497,97.4052,5596730
9958,2023-02-01,97.8966,106.153,97.7984,103.2043,9828117
9958,2023-02-02,103.2043,105.6615,101.2385,103.6957,4692816
9958,2023-02-03,103.6957,104.6786,100.2556,103.2043,2854281
9958,2023-02-06,100.747,104.6786,97.7984,97.8966,8298862
9958,2023-02-07,97.2086,99.2727,97.1103,97.7984,2612922
9958,2023-02-08,98.7812,98.7812,96.324,96.7172,2920411
