,instrument,datetime,open,high,low,close,volume
358,Y9999,2023-04-26,15352.03,15398.4,15284.46,15374.63,5308551000
359,Y9999,2023-04-27,15374.39,15455.88,15306.69,15411.49,5020367000
360,Y9999,2023-04-28,15477.34,15580.63,15477.34,15579.18,5582127000
361,Y9999,2023-05-02,15588.68,15651.23,15532.63,15636.48,5567907000
362,Y9999,2023-05-03,15629.51,15629.51,15530.79,15553.41,5092780000
363,Y9999,2023-05-04,15548.02,15622.41,15523.5,15609.03,4891203000
364,Y9999,2023-05-05,15627.93,15673.62,15578.67,15626.07,4586675000
365,Y9999,2023-05-08,15648.54,15757.8,15648.54,15699.57,5395345000
366,Y9999,2023-05-09,15702.26,15744.27,15635.9,15727.7,5192657000
367,Y9999,2023-05-10,15708.48,15711.39,15579.49,15641.76,4625505000
368,Y9999,2023-05-11,15666.49,15675.37,15501.58,15514.64,4873012000
369,Y9999,2023-05-12,15477.12,15545.99,15424.42,15502.36,5132689000
370,Y9999,2023-05-15,15489.18,15510.09,15434.52,15475.05,4742994000
371,Y9999,2023-05-16,15550.57,15723.95,15550.57,15673.9,5084407000
372,Y9999,2023-05-17,15702.74,15961.97,15698.63,15925.29,6161177000
373,Y9999,2023-05-18,16060.26,16128.72,16015.62,16101.88,6611031000
374,Y9999,2023-05-19,16146.29,16189.81,16099.9,16174.92,7207535000
375,Y9999,2023-05-22,16168.74,16202.92,16131.55,16180.89,5888637000
376,Y9999,2023-05-23,16186.15,16239.5,16121.45,16188.03,5513115000
377,Y9999,2023-05-24,16186.62,16186.62,16070.16,16159.32,5415815000
378,Y9999,2023-05-25,16163.95,16323.77,16163.95,16292.0,6619735000
379,Y9999,2023-05-26,16509.14,16537.79,16457.74,16505.05,7255266000
380,Y9999,2023-05-29,16610.86,16683.76,16597.38,16636.3,7191495000
381,Y9999,2023-05-30,16648.77,16681.19,16579.13,16622.74,6482103000
382,Y9999,2023-05-31,16593.53,16636.65,16491.9,16578.96,7887933000
383,Y9999,2023-06-01,16511.0,16555.5,16477.43,16512.65,6519472000
384,Y9999,2023-06-02,16525.0,16752.2,16525.0,16706.91,7956094000
385,Y9999,2023-06-05,16714.48,16781.19,16703.6,16714.43,7901788000
386,Y9999,2023-06-06,16712.98,16793.81,16699.83,16761.66,6563012000
387,Y9999,2023-06-07,16771.76,16922.48,16771.76,16922.48,6570149000
388,Y9999,2023-06-08,16864.18,16899.51,16694.21,16733.69,6632985000
389,Y9999,2023-06-09,16775.92,16895.99,16775.92,16886.4,6166466000
390,Y9999,2023-06-12,16899.49,16999.72,16899.49,16955.37,6805620000
391,Y9999,2023-06-13,17135.84,17254.96,17129.23,17216.6,7487726000
392,Y9999,2023-06-14,17190.7,17259.23,17182.18,17238.14,7369331000
393,Y9999,2023-06-15,17259.37,17346.32,17259.37,17334.98,8147091000
394,Y9999,2023-06-16,17342.86,17342.86,17250.79,17288.91,9722832000
395,Y9999,2023-06-19,17274.07,17306.81,17210.87,17274.56,7496332000
396,Y9999,2023-06-20,17233.8,17247.16,17121.59,17184.91,6812226000
397,Y9999,2023-06-21,17186.72,17246.77,17131.45,17202.4,6883193000
398,Y9999,2023-06-26,17182.48,17182.48,17011.28,17059.24,6663091000
399,Y9999,2023-06-27,17022.15,17035.49,16887.9,16887.9,6665715000
400,Y9999,2023-06-28,16906.23,17011.12,16903.71,16935.63,5940529000
401,Y9999,2023-06-29,16930.41,17077.44,16911.38,16942.3,6173036000
402,Y9999,2023-06-30,16870.27,16919.95,16792.34,16915.54,6671810000
403,Y9999,2023-07-03,16946.71,17103.73,16946.71,17084.2,7397864000
404,Y9999,2023-07-04,17055.19,17154.1,17042.6,17140.77,7951802000
405,Y9999,2023-07-05,17130.26,17153.17,17020.01,17056.43,7276803000
406,Y9999,2023-07-06,17017.09,17017.09,16749.29,16762.17,7884657000
407,Y9999,2023-07-07,16736.94,16762.39,16593.84,16664.21,6849714000
408,Y9999,2023-07-10,16667.43,16798.81,16635.83,16652.8,6154372000
409,Y9999,2023-07-11,16675.69,16898.91,16675.69,16898.91,6961862000
410,Y9999,2023-07-12,16903.25,16962.03,16864.01,16962.03,7334366000
411,Y9999,2023-07-13,16994.59,17223.86,16994.59,17061.4,9286862000
412,Y9999,2023-07-14,17152.81,17287.4,17128.07,17283.71,8343133000
413,Y9999,2023-07-17,17279.11,17346.66,17235.92,17334.29,8368565000
414,Y9999,2023-07-18,17368.36,17401.59,17164.92,17227.91,9775425000
415,Y9999,2023-07-19,17265.38,17340.82,17082.54,17116.44,8084533000
416,Y9999,2023-07-20,17104.91,17214.41,17098.65,17164.89,6313982000
417,Y9999,2023-07-21,17106.29,17106.29,16859.13,17030.7,7694988000
418,Y9999,2023-07-24,17036.79,17098.73,16941.15,17033.61,7182357000
419,Y9999,2023-07-25,17061.88,17270.2,17061.88,17198.89,7371305000
420,Y9999,2023-07-26,17205.47,17247.02,17121.99,17162.55,7110367000
421,Y9999,2023-07-27,17189.3,17282.86,17189.3,17241.82,7599016000
422,Y9999,2023-07-28,17244.51,17328.21,17179.94,17292.93,7744942000
423,Y9999,2023-07-31,17341.04,17463.76,17081.48,17145.43,9128395000
424,Y9999,2023-08-01,17141.97,17252.32,17095.86,17212.87,7063479000
425,Y9999,2023-08-02,17207.22,17212.55,16844.57,16893.73,9190407000
426,Y9999,2023-08-04,16847.24,16887.38,16748.51,16843.68,7314773000
427,Y9999,2023-08-07,16870.81,17032.32,16868.74,16996.0,6264641000
428,Y9999,2023-08-08,17006.46,17043.56,16812.59,16877.07,6750517000
429,Y9999,2023-08-09,16836.64,16956.73,16798.5,16870.94,5957436000
430,Y9999,2023-08-10,16827.11,16827.11,16601.17,16634.7,7182123000
431,Y9999,2023-08-11,16644.65,16766.84,16601.25,16601.25,5629266000
432,Y9999,2023-08-14,16585.41,16585.41,16307.28,16393.66,7357665000
433,Y9999,2023-08-15,16438.63,16546.01,16437.63,16454.8,5959257000
434,Y9999,2023-08-16,16422.2,16446.78,16304.44,16446.78,6459109000
435,Y9999,2023-08-17,16411.63,16550.11,16264.65,16516.66,7125689000
436,Y9999,2023-08-18,16508.46,16583.95,16344.29,16381.31,7246690000
437,Y9999,2023-08-21,16414.14,16485.25,16347.77,16381.49,5426098000
438,Y9999,2023-08-22,16429.69,16535.07,16407.83,16437.61,5428567000
439,Y9999,2023-08-23,16440.39,16588.51,16440.39,16576.9,5531007000
440,Y9999,2023-08-24,16651.03,16822.36,16651.03,16770.87,7596547000
441,Y9999,2023-08-25,16708.53,16708.53,16481.58,16481.58,6149183000
442,Y9999,2023-08-28,16498.86,16582.96,16498.86,16509.26,5650625000
443,Y9999,2023-08-29,16528.49,16627.7,16495.76,16623.65,5029684000
444,Y9999,2023-08-30,16666.33,16780.42,16666.33,16719.82,5783468000
445,Y9999,2023-08-31,16707.35,16712.22,16630.67,16634.51,6337598000
446,Y9999,2023-09-01,16640.92,16730.13,16619.23,16644.94,5858177000
447,Y9999,2023-09-04,16649.67,16789.69,16648.51,16789.69,5493751000
448,Y9999,2023-09-05,16784.12,16791.61,16727.44,16791.61,5389791000
449,Y9999,2023-09-06,16796.37,16841.19,16732.69,16738.16,6167718000
450,Y9999,2023-09-07,16715.45,16715.45,16609.94,16619.14,5529953000
451,Y9999,2023-09-08,16609.93,16609.93,16505.64,16576.02,5107734000
452,Y9999,2023-09-11,16579.83,16600.03,16398.3,16432.95,6051740000
453,Y9999,2023-09-12,16433.82,16579.86,16422.91,16572.71,5408148000
454,Y9999,2023-09-13,16578.13,16653.3,16542.72,16581.51,5515375000
455,Y9999,2023-09-14,16581.62,16807.56,16581.62,16807.56,6359872000
456,Y9999,2023-09-15,16809.74,16920.92,16787.74,16920.92,8158060000
457,Y9999,2023-09-18,16893.97,16893.97,16698.24,16698.24,6078273000
458,Y9999,2023-09-19,16706.48,16762.52,16636.32,16636.32,5645206000
459,Y9999,2023-09-20,16626.61,16665.27,16522.38,16534.75,5988536000
460,Y9999,2023-09-21,16475.42,16475.42,16300.54,16316.67,6133771000
461,Y9999,2023-09-22,16267.32,16360.96,16202.43,16344.48,5214709000
462,Y9999,2023-09-25,16345.78,16498.38,16345.78,16452.23,4790555000
463,Y9999,2023-09-26,16440.26,16440.26,16276.07,16276.07,5184686000
464,Y9999,2023-09-27,16273.84,16324.22,16212.86,16310.36,4601829000
465,Y9999,2023-09-28,16330.71,16411.28,16311.41,16353.74,5113712000
466,Y9999,2023-10-02,16382.96,16575.31,16382.96,16557.31,5734001000
467,Y9999,2023-10-03,16520.24,16571.66,16453.8,16454.34,5892350000
468,Y9999,2023-10-04,16419.48,16419.48,16203.34,16273.38,5641720000
