,BOP,HT_DCPHASE,MIN,VAR,COS,TAN,PLUS_DM,SIN
90,-0.0033966193,-0.0032821232,0.0138328,0.06043448,-0.030482575,0.0039777285,0.029824212,-0.03585254
91,0.061729185,0.058026943,0.05125619,-0.00080536766,0.073093824,-0.108082406,0.0013719642,-0.1080183
92,-0.08994448,-0.006768665,-0.01723486,-0.0685978,-0.019108221,-0.0034685044,-0.011782394,-0.013422727
93,-0.08010124,0.04567829,0.048874807,0.07133173,0.037279435,-0.041108936,-0.013324309,0.0057042735
94,-0.0038623249,-0.07549219,0.056727774,0.01011054,-0.08304821,0.07225819,0.06621594,-0.044369515
95,0.021858068,0.02266787,-0.056599945,-0.04682804,0.02845304,0.00060165586,0.09463822,-0.10786109
96,0.018027572,-0.004298887,-0.05127578,0.025435561,0.10295263,-0.039530035,-0.033289146,0.005076154
97,-0.008310047,0.025547905,-0.07747378,-0.054632355,0.03534465,-0.07871937,0.013232463,0.036287244
98,-0.014338799,-0.030758576,-0.041174944,-0.06950355,-0.032495793,-0.033500146,0.0044341953,0.012380648
99,-0.029614564,0.051102202,-0.025102142,-0.026436126,-0.07114538,-0.016817631,0.06104495,-0.07916707
100,-0.03205446,0.035396587,-0.02445973,-0.031281862,0.024653226,0.07851499,-0.027961912,0.03107125
101,-0.06603863,0.064938016,-0.01850135,-0.061010353,-0.031983227,0.06669985,-0.114521325,0.0148574775
102,0.047623098,-0.010627996,-0.06812946,-0.026425442,-0.06813343,-0.09394132,-0.039405912,-0.016779866
103,-0.055429738,0.03680498,0.052286178,-0.013416721,-0.08176092,0.021398706,0.028156739,0.0548459
104,-0.064947724,0.085298225,-0.029595269,0.099699095,0.057675272,0.08703269,-0.110113464,0.07267687
105,0.00442771,-0.021295698,0.080447234,0.013639682,-0.038992625,0.044180334,-0.011987391,0.036164798
106,-0.010249042,0.016601767,0.07701191,0.069409624,0.043208268,0.072639845,-0.07022659,0.045772344
107,0.00809038,0.036976594,0.049603164,0.021470668,0.050737515,0.04266101,-0.014624509,0.062962614
108,0.06701425,-0.009372475,-0.049761362,-0.06938049,-0.039689634,0.046781793,0.03225028,-0.04096829
109,-0.079247996,-0.022328611,0.046514515,0.02708567,-0.09073791,0.08075697,0.04481918,0.07968596
110,0.008175923,-0.010224774,0.034481406,-0.05472324,-0.09941105,0.03466578,0.049254246,-0.06620734
111,0.031691045,0.051000707,-0.07071808,0.087151036,-0.04095341,-0.062029682,0.06850093,0.044559173
112,0.014929773,-0.022804944,-0.07022679,-0.056141347,0.0057492703,0.031152712,-0.06626693,-0.023662375
113,-0.0071130227,0.02148734,-0.060252212,-0.0007954529,0.04484601,-0.021838818,0.07258349,0.027259955
114,-0.06071691,-0.029284092,-0.07650543,-0.019325586,0.072433285,-0.058432713,0.077745296,-0.051240325
115,-0.065835014,-0.0017255768,0.070466325,-0.08318618,-0.026285393,-0.018979106,-0.037881766,-0.017709568
116,0.047719844,0.046791136,-0.06989692,-0.066107124,-0.046930075,0.024729474,0.12192702,-0.057877008
117,-0.054833964,-0.0042083547,0.008371486,-0.008646593,0.004076335,0.072345674,-0.091082454,-0.066617265
118,-0.07175234,-0.015864644,-0.06794541,-0.08241715,-0.011855707,0.057389494,0.021264216,-0.06553281
119,0.08052132,0.0200574,0.02612801,0.06527547,-0.05042837,0.039249226,-0.094348125,0.058693666
120,0.08707235,-0.016385335,-0.0037784365,0.047494214,-0.061032657,0.059894904,-0.037511803,-0.044918343
121,-0.07873952,0.028489253,-0.08716043,-0.0045888023,0.079751775,0.03753448,-0.05591983,0.059872862
122,-0.03441076,-0.062531084,0.0047744242,0.111576565,-0.060832214,0.016713545,-0.09326964,0.12667592
123,0.016083572,-0.017799236,-0.0054360195,0.057674855,0.067043945,-0.02841457,-0.059250016,0.07249342
124,0.02525412,0.05962685,0.062003296,-0.029493855,-0.07486137,-0.011308116,0.07164305,0.011811844
125,0.019249547,-0.03132577,-0.046193946,-0.053536538,0.0047441036,0.06349232,0.0827702,-0.02283652
126,0.08007725,-0.02628744,0.074857384,-0.045487,-0.035315353,-0.031369645,-0.09313108,0.01371728
127,0.053631384,-0.010199952,0.07814115,-0.026180092,-0.05996105,0.04965026,-0.006954999,0.043234512
